description,age,employment_status,employment_years,income,credit_score,loan_amount,loan_term_months,loan_purpose,debt_to_income,existing_loans,collateral,revolving_utilization,delinquencies,bankruptcies,underwriter_notes,credit_health_index,approved,risk_tier,recommended_apr,default_prob,max_approved_amount
"Credit application summary: $42,497 education loan sought by a 33-year-old business owner individual. Repayment horizon is 36 months with none collateral. Applicant commands an annual income of $75,037 with a FICO score of 591 and debt ratio of 0.33. Borrower carries 3 existing loan liability(ies) and revolving utilization of 11%. Credit notes: Unfavorable leverage metrics and multiple active loan liabilities.",33,Business Owner,10.0,75037,591,42497,36,Education,0.33,3,None,0.11,1,0,Unfavorable leverage metrics and multiple active loan liabilities.,33.8,0,Tier C (Subprime),19.81,0.754,19021
"Loan profile: The applicant is 56 years of age, working as retired with 7.1 years of experience. Seeking $38,097 financing for education across 120 monthly installments secured by property / real estate. Earning $32,520 annually with an established credit score of 633 and monthly DTI of 0.49. The borrower currently maintains no existing debt obligations. Risk note: Moderate risk profile; requires verification of secondary liquid assets.",56,Retired,7.1,32520,633,38097,120,Education,0.49,0,Property / Real Estate,0.13,0,0,Moderate risk profile; requires verification of secondary liquid assets.,60.3,1,Tier B (Near-Prime),13.98,0.178,14707
"Borrower review: 40-year-old employed requesting a $16,184 36-month loan for vehicle purchase. Financial standing: $38,405 annual gross income, credit rating of 677, and leverage ratio of 0.67. Collateral posture: Property / Real Estate. Obligation structure: 2 existing loan liability(ies), with zero delinquencies, 21% revolving usage. Analyst review: Moderate risk profile; requires verification of secondary liquid assets.",40,Employed,6.8,38405,677,16184,36,Vehicle Purchase,0.67,2,Property / Real Estate,0.21,0,0,Moderate risk profile; requires verification of secondary liquid assets.,61.2,1,Tier B (Near-Prime),13.79,0.165,17627
"Applicant is a 37-year-old student professional (0.0 years in field) requesting a $22,598 credit facility for home purchase over 60 months secured by commercial equipment. Declared annual income is $37,474 against a credit score of 680 and DTI ratio of 0.30. Credit file shows no existing debt obligations, 9% revolving utilization, and with zero delinquencies. Underwriting assessment: Strong liquidity profile and prime credit score history.",37,Student,0.0,37474,680,22598,60,Home Purchase,0.3,0,Commercial Equipment,0.09,0,0,Strong liquidity profile and prime credit score history.,65.8,1,Tier A (Prime),12.77,0.111,18493
"Credit application summary: $20,407 vehicle purchase loan sought by a 24-year-old unemployed individual. Repayment horizon is 60 months with vehicle collateral. Applicant commands an annual income of $16,822 with a FICO score of 714 and debt ratio of 1.13. Borrower carries 3 existing loan liability(ies) and revolving utilization of 20%. Credit notes: High revolving credit utilization with recent delinquency inquiries on file.",24,Unemployed,0.0,16822,714,20407,60,Vehicle Purchase,1.13,3,Vehicle,0.2,0,0,High revolving credit utilization with recent delinquency inquiries on file.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Loan profile: The applicant is 22 years of age, working as freelancer with 0.2 years of experience. Seeking $30,837 financing for education across 48 monthly installments secured by investment portfolio. Earning $78,565 annually with an established credit score of 648 and monthly DTI of 0.12. The borrower currently maintains no existing debt obligations. Risk note: Verified disposable cash flow comfortably covers debt service coverage ratio.",22,Freelancer,0.2,78565,648,30837,48,Education,0.12,0,Investment Portfolio,0.19,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,90.7,1,Tier A+ (Prime),7.3,0.02,53443
"Borrower review: 42-year-old retired requesting a $43,246 84-month loan for business expansion. Financial standing: $56,711 annual gross income, credit rating of 719, and leverage ratio of 0.39. Collateral posture: Commercial Equipment. Obligation structure: 1 existing loan liability(ies), with zero delinquencies, 23% revolving usage. Analyst review: Clean repayment history with strong collateral backing.",42,Retired,2.8,56711,719,43246,84,Business Expansion,0.39,1,Commercial Equipment,0.23,0,0,Clean repayment history with strong collateral backing.,99.0,1,Tier A+ (Prime),6.25,0.02,42107
"Applicant is a 45-year-old employed professional (7.7 years in field) requesting a $37,013 credit facility for debt consolidation over 180 months without collateral backing. Declared annual income is $88,654 against a credit score of 774 and DTI ratio of 0.24. Credit file shows 1 existing loan liability(ies), 15% revolving utilization, and with zero delinquencies. Underwriting assessment: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",45,Employed,7.7,88654,774,37013,180,Debt Consolidation,0.24,1,None,0.15,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,65825
"Credit application summary: $47,188 home improvement loan sought by a 56-year-old employed individual. Repayment horizon is 36 months with none collateral. Applicant commands an annual income of $60,470 with a FICO score of 783 and debt ratio of 0.36. Borrower carries 1 existing loan liability(ies) and revolving utilization of 17%. Credit notes: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",56,Employed,26.2,60470,783,47188,36,Home Improvement,0.36,1,None,0.17,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,44898
"Loan profile: The applicant is 43 years of age, working as employed with 7.8 years of experience. Seeking $66,050 financing for debt consolidation across 12 monthly installments without collateral backing. Earning $53,374 annually with an established credit score of 664 and monthly DTI of 0.18. The borrower currently maintains no existing debt obligations. Risk note: Solid balance sheet with multi-year steady employment and low debt obligations.",43,Employed,7.8,53374,664,66050,12,Debt Consolidation,0.18,0,None,0.27,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,39630
"Borrower review: 68-year-old employed requesting a $29,387 60-month loan for business expansion. Financial standing: $44,426 annual gross income, credit rating of 732, and leverage ratio of 0.44. Collateral posture: Cash Reserve. Obligation structure: 1 existing loan liability(ies), with zero delinquencies, 4% revolving usage. Analyst review: Verified disposable cash flow comfortably covers debt service coverage ratio.",68,Employed,9.1,44426,732,29387,60,Business Expansion,0.44,1,Cash Reserve,0.04,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,92.1,1,Tier A+ (Prime),6.99,0.02,30687
"Applicant is a 38-year-old self-employed professional (9.9 years in field) requesting a $69,807 credit facility for home purchase over 60 months secured by property / real estate. Declared annual income is $35,158 against a credit score of 595 and DTI ratio of 0.58. Credit file shows 1 existing loan liability(ies), 21% revolving utilization, and with zero delinquencies. Underwriting assessment: Aggressive loan request relative to stated annual gross income.",38,Self-Employed,9.9,35158,595,69807,60,Home Purchase,0.58,1,Property / Real Estate,0.21,0,0,Aggressive loan request relative to stated annual gross income.,30.9,0,Tier D (High Risk),20.45,0.804,8147
"Credit application summary: $94,242 commercial equipment loan sought by a 70-year-old unemployed individual. Repayment horizon is 36 months with property / real estate collateral. Applicant commands an annual income of $15,000 with a FICO score of 628 and debt ratio of 1.68. Borrower carries 1 existing loan liability(ies) and revolving utilization of 7%. Credit notes: Aggressive loan request relative to stated annual gross income.",70,Unemployed,0.0,15000,628,94242,36,Commercial Equipment,1.68,1,Property / Real Estate,0.07,0,0,Aggressive loan request relative to stated annual gross income.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Loan profile: The applicant is 44 years of age, working as retired with 6.3 years of experience. Seeking $54,795 financing for home purchase across 84 monthly installments without collateral backing. Earning $42,673 annually with an established credit score of 593 and monthly DTI of 0.57. The borrower currently maintains 2 existing loan liability(ies). Risk note: Limited asset collateral and history of short employment duration.",44,Retired,6.3,42673,593,54795,84,Home Purchase,0.57,2,None,0.24,2,0,Limited asset collateral and history of short employment duration.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Borrower review: 40-year-old self-employed requesting a $26,678 84-month loan for home improvement. Financial standing: $31,685 annual gross income, credit rating of 681, and leverage ratio of 0.25. Collateral posture: Property / Real Estate. Obligation structure: no existing debt obligations, with zero delinquencies, 8% revolving usage. Analyst review: Clean repayment history with strong collateral backing.",40,Self-Employed,5.9,31685,681,26678,84,Home Improvement,0.25,0,Property / Real Estate,0.08,0,0,Clean repayment history with strong collateral backing.,99.0,1,Tier A+ (Prime),6.25,0.02,23526
"Applicant is a 31-year-old employed professional (8.3 years in field) requesting a $81,634 credit facility for debt consolidation over 36 months secured by investment portfolio. Declared annual income is $32,524 against a credit score of 617 and DTI ratio of 0.64. Credit file shows 1 existing loan liability(ies), 32% revolving utilization, and with zero delinquencies. Underwriting assessment: Moderate risk profile; requires verification of secondary liquid assets.",31,Employed,8.3,32524,617,81634,36,Debt Consolidation,0.64,1,Investment Portfolio,0.32,0,0,Moderate risk profile; requires verification of secondary liquid assets.,56.2,1,Tier B (Near-Prime),14.89,0.246,13708
"Credit application summary: $57,640 debt consolidation loan sought by a 60-year-old employed individual. Repayment horizon is 60 months with vehicle collateral. Applicant commands an annual income of $123,398 with a FICO score of 566 and debt ratio of 0.17. Borrower carries 2 existing loan liability(ies) and revolving utilization of 21%. Credit notes: Moderate risk profile; requires verification of secondary liquid assets.",60,Employed,9.1,123398,566,57640,60,Debt Consolidation,0.17,2,Vehicle,0.21,0,1,Moderate risk profile; requires verification of secondary liquid assets.,49.8,1,Tier B (Near-Prime),16.29,0.382,46089
"Loan profile: The applicant is 52 years of age, working as employed with 15.0 years of experience. Seeking $63,838 financing for business expansion across 60 monthly installments secured by property / real estate. Earning $78,692 annually with an established credit score of 654 and monthly DTI of 0.14. The borrower currently maintains 1 existing loan liability(ies). Risk note: Verified disposable cash flow comfortably covers debt service coverage ratio.",52,Employed,15.0,78692,654,63838,60,Business Expansion,0.14,1,Property / Real Estate,0.05,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,58428
"Borrower review: 69-year-old employed requesting a $126,928 36-month loan for home improvement. Financial standing: $54,257 annual gross income, credit rating of 550, and leverage ratio of 0.49. Collateral posture: None. Obligation structure: 1 existing loan liability(ies), with zero delinquencies, 7% revolving usage. Analyst review: Moderate risk profile; requires verification of secondary liquid assets.",69,Employed,13.4,54257,550,126928,36,Home Improvement,0.49,1,None,0.07,0,0,Moderate risk profile; requires verification of secondary liquid assets.,48.3,1,Tier B (Near-Prime),16.62,0.418,19654
"Applicant is a 23-year-old self-employed professional (1.6 years in field) requesting a $68,328 credit facility for vehicle purchase over 240 months secured by vehicle. Declared annual income is $266,911 against a credit score of 788 and DTI ratio of 0.06. Credit file shows no existing debt obligations, 7% revolving utilization, and with 2 past delinquency flag(s). Underwriting assessment: Strong liquidity profile and prime credit score history.",23,Self-Employed,1.6,266911,788,68328,240,Vehicle Purchase,0.06,0,Vehicle,0.07,2,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,198181
"Credit application summary: $130,705 home improvement loan sought by a 61-year-old employed individual. Repayment horizon is 36 months with none collateral. Applicant commands an annual income of $28,098 with a FICO score of 641 and debt ratio of 0.92. Borrower carries 1 existing loan liability(ies) and revolving utilization of 18%. Credit notes: Unfavorable leverage metrics and multiple active loan liabilities.",61,Employed,33.4,28098,641,130705,36,Home Improvement,0.92,1,None,0.18,0,0,Unfavorable leverage metrics and multiple active loan liabilities.,21.5,0,Tier D (High Risk),22.52,0.913,4530
"Loan profile: The applicant is 26 years of age, working as employed with 3.6 years of experience. Seeking $35,904 financing for home purchase across 60 monthly installments without collateral backing. Earning $118,965 annually with an established credit score of 761 and monthly DTI of 0.06. The borrower currently maintains no existing debt obligations. Risk note: Strong liquidity profile and prime credit score history.",26,Employed,3.6,118965,761,35904,60,Home Purchase,0.06,0,None,0.2,0,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,88331
"Borrower review: 41-year-old employed requesting a $29,039 48-month loan for green energy & solar. Financial standing: $65,427 annual gross income, credit rating of 646, and leverage ratio of 0.16. Collateral posture: None. Obligation structure: 1 existing loan liability(ies), with zero delinquencies, 39% revolving usage. Analyst review: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",41,Employed,6.7,65427,646,29039,48,Green Energy & Solar,0.16,1,None,0.39,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,87.4,1,Tier A+ (Prime),8.02,0.02,42887
"Applicant is a 52-year-old self-employed professional (12.5 years in field) requesting a $95,006 credit facility for home purchase over 12 months without collateral backing. Declared annual income is $117,839 against a credit score of 591 and DTI ratio of 0.09. Credit file shows no existing debt obligations, 20% revolving utilization, and with 2 past delinquency flag(s). Underwriting assessment: Aggressive loan request relative to stated annual gross income.",52,Self-Employed,12.5,117839,591,95006,12,Home Purchase,0.09,0,None,0.2,2,0,Aggressive loan request relative to stated annual gross income.,46.6,0,Tier C (Subprime),17.0,0.46,41184
"Credit application summary: $19,162 vehicle purchase loan sought by a 36-year-old employed individual. Repayment horizon is 24 months with none collateral. Applicant commands an annual income of $73,859 with a FICO score of 776 and debt ratio of 0.12. Borrower carries no existing debt obligations and revolving utilization of 4%. Credit notes: Solid balance sheet with multi-year steady employment and low debt obligations.",36,Employed,4.2,73859,776,19162,24,Vehicle Purchase,0.12,0,None,0.04,3,0,Solid balance sheet with multi-year steady employment and low debt obligations.,87.3,1,Tier A+ (Prime),8.04,0.02,48359
"Loan profile: The applicant is 43 years of age, working as self-employed with 16.9 years of experience. Seeking $165,430 financing for debt consolidation across 36 monthly installments secured by property / real estate. Earning $27,325 annually with an established credit score of 691 and monthly DTI of 0.61. The borrower currently maintains no existing debt obligations. Risk note: Strong liquidity profile and prime credit score history.",43,Self-Employed,16.9,27325,691,165430,36,Debt Consolidation,0.61,0,Property / Real Estate,0.24,0,0,Strong liquidity profile and prime credit score history.,66.3,1,Tier A (Prime),12.66,0.106,13587
"Borrower review: 53-year-old employed requesting a $106,556 84-month loan for home improvement. Financial standing: $73,313 annual gross income, credit rating of 832, and leverage ratio of 0.35. Collateral posture: None. Obligation structure: 1 existing loan liability(ies), with 1 past delinquency flag(s), 7% revolving usage. Analyst review: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",53,Employed,25.1,73313,832,106556,84,Home Improvement,0.35,1,None,0.07,1,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,54434
"Applicant is a 47-year-old freelancer professional (10.8 years in field) requesting a $42,860 credit facility for home improvement over 48 months secured by property / real estate. Declared annual income is $79,479 against a credit score of 648 and DTI ratio of 0.35. Credit file shows 3 existing loan liability(ies), 23% revolving utilization, and with 1 past delinquency flag(s). Underwriting assessment: Verified disposable cash flow comfortably covers debt service coverage ratio.",47,Freelancer,10.8,79479,648,42860,48,Home Improvement,0.35,3,Property / Real Estate,0.23,1,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,68.7,1,Tier A (Prime),12.14,0.085,40951
"Credit application summary: $98,810 education loan sought by a 62-year-old employed individual. Repayment horizon is 60 months with vehicle collateral. Applicant commands an annual income of $20,835 with a FICO score of 650 and debt ratio of 0.94. Borrower carries 1 existing loan liability(ies) and revolving utilization of 32%. Credit notes: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",62,Employed,24.3,20835,650,98810,60,Education,0.94,1,Vehicle,0.32,0,0,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,37.9,0,Tier C (Subprime),18.91,0.67,5922
"Loan profile: The applicant is 60 years of age, working as self-employed with 8.7 years of experience. Seeking $65,956 financing for debt consolidation across 240 monthly installments secured by property / real estate. Earning $222,912 annually with an established credit score of 763 and monthly DTI of 0.13. The borrower currently maintains 2 existing loan liability(ies). Risk note: Clean repayment history with strong collateral backing.",60,Self-Employed,8.7,222912,763,65956,240,Debt Consolidation,0.13,2,Property / Real Estate,0.26,0,0,Clean repayment history with strong collateral backing.,99.0,1,Tier A+ (Prime),6.25,0.02,165512
"Borrower review: 58-year-old business owner requesting a $15,252 36-month loan for home improvement. Financial standing: $119,697 annual gross income, credit rating of 763, and leverage ratio of 0.03. Collateral posture: None. Obligation structure: no existing debt obligations, with zero delinquencies, 3% revolving usage. Analyst review: Verified disposable cash flow comfortably covers debt service coverage ratio.",58,Business Owner,15.8,119697,763,15252,36,Home Improvement,0.03,0,None,0.03,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,88875
"Applicant is a 41-year-old self-employed professional (11.5 years in field) requesting a $21,758 credit facility for home improvement over 120 months secured by property / real estate. Declared annual income is $110,735 against a credit score of 696 and DTI ratio of 0.18. Credit file shows 1 existing loan liability(ies), 8% revolving utilization, and with zero delinquencies. Underwriting assessment: Strong liquidity profile and prime credit score history.",41,Self-Employed,11.5,110735,696,21758,120,Home Improvement,0.18,1,Property / Real Estate,0.08,0,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,82220
"Credit application summary: $49,727 vehicle purchase loan sought by a 68-year-old student individual. Repayment horizon is 36 months with property / real estate collateral. Applicant commands an annual income of $15,000 with a FICO score of 850 and debt ratio of 1.38. Borrower carries 1 existing loan liability(ies) and revolving utilization of 17%. Credit notes: Unfavorable leverage metrics and multiple active loan liabilities.",68,Student,0.0,15000,850,49727,36,Vehicle Purchase,1.38,1,Property / Real Estate,0.17,0,1,Unfavorable leverage metrics and multiple active loan liabilities.,1.1,0,Tier D (High Risk),26.25,0.94,3000
"Loan profile: The applicant is 36 years of age, working as employed with 5.5 years of experience. Seeking $45,236 financing for personal across 36 monthly installments without collateral backing. Earning $101,705 annually with an established credit score of 663 and monthly DTI of 0.29. The borrower currently maintains 3 existing loan liability(ies). Risk note: Verified disposable cash flow comfortably covers debt service coverage ratio.",36,Employed,5.5,101705,663,45236,36,Personal,0.29,3,None,0.22,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,84.9,1,Tier A+ (Prime),8.57,0.02,64760
"Borrower review: 53-year-old employed requesting a $107,054 60-month loan for medical. Financial standing: $126,655 annual gross income, credit rating of 585, and leverage ratio of 0.17. Collateral posture: Vehicle. Obligation structure: 2 existing loan liability(ies), with 1 past delinquency flag(s), 34% revolving usage. Analyst review: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",53,Employed,3.2,126655,585,107054,60,Medical,0.17,2,Vehicle,0.34,1,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,73.5,1,Tier A (Prime),11.08,0.055,69818
"Applicant is a 25-year-old employed professional (2.8 years in field) requesting a $50,339 credit facility for vehicle purchase over 120 months secured by vehicle. Declared annual income is $79,974 against a credit score of 606 and DTI ratio of 0.14. Credit file shows 1 existing loan liability(ies), 17% revolving utilization, and with zero delinquencies. Underwriting assessment: Verified disposable cash flow comfortably covers debt service coverage ratio.",25,Employed,2.8,79974,606,50339,120,Vehicle Purchase,0.14,1,Vehicle,0.17,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,59380
"Credit application summary: $15,497 education loan sought by a 65-year-old self-employed individual. Repayment horizon is 36 months with none collateral. Applicant commands an annual income of $76,126 with a FICO score of 663 and debt ratio of 0.13. Borrower carries 1 existing loan liability(ies) and revolving utilization of 9%. Credit notes: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",65,Self-Employed,33.7,76126,663,15497,36,Education,0.13,1,None,0.09,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,56523
"Loan profile: The applicant is 25 years of age, working as employed with 3.3 years of experience. Seeking $26,662 financing for business expansion across 60 monthly installments secured by investment portfolio. Earning $42,553 annually with an established credit score of 803 and monthly DTI of 0.41. The borrower currently maintains 2 existing loan liability(ies). Risk note: Verified disposable cash flow comfortably covers debt service coverage ratio.",25,Employed,3.3,42553,803,26662,60,Business Expansion,0.41,2,Investment Portfolio,0.07,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,31595
"Borrower review: 53-year-old employed requesting a $70,073 12-month loan for medical. Financial standing: $61,764 annual gross income, credit rating of 670, and leverage ratio of 0.50. Collateral posture: Property / Real Estate. Obligation structure: 3 existing loan liability(ies), with 1 past delinquency flag(s), 37% revolving usage. Analyst review: Clean repayment history with strong collateral backing.",53,Employed,20.5,61764,670,70073,12,Medical,0.5,3,Property / Real Estate,0.37,1,0,Clean repayment history with strong collateral backing.,78.8,1,Tier A (Prime),9.91,0.033,36502
"Applicant is a 20-year-old self-employed professional (0.0 years in field) requesting a $10,229 credit facility for education over 60 months without collateral backing. Declared annual income is $57,739 against a credit score of 807 and DTI ratio of 0.15. Credit file shows 1 existing loan liability(ies), 14% revolving utilization, and with 1 past delinquency flag(s). Underwriting assessment: Solid balance sheet with multi-year steady employment and low debt obligations.",20,Self-Employed,0.0,57739,807,10229,60,Education,0.15,1,None,0.14,1,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,42871
"Credit application summary: $13,925 vehicle purchase loan sought by a 29-year-old self-employed individual. Repayment horizon is 60 months with vehicle collateral. Applicant commands an annual income of $104,810 with a FICO score of 718 and debt ratio of 0.04. Borrower carries no existing debt obligations and revolving utilization of 26%. Credit notes: Solid balance sheet with multi-year steady employment and low debt obligations.",29,Self-Employed,2.4,104810,718,13925,60,Vehicle Purchase,0.04,0,Vehicle,0.26,1,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,77821
"Loan profile: The applicant is 40 years of age, working as employed with 16.1 years of experience. Seeking $30,348 financing for green energy & solar across 60 monthly installments secured by investment portfolio. Earning $43,589 annually with an established credit score of 769 and monthly DTI of 0.14. The borrower currently maintains no existing debt obligations. Risk note: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",40,Employed,16.1,43589,769,30348,60,Green Energy & Solar,0.14,0,Investment Portfolio,0.16,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,32364
"Borrower review: 24-year-old business owner requesting a $80,421 180-month loan for debt consolidation. Financial standing: $137,600 annual gross income, credit rating of 715, and leverage ratio of 0.19. Collateral posture: Investment Portfolio. Obligation structure: 2 existing loan liability(ies), with zero delinquencies, 31% revolving usage. Analyst review: Verified disposable cash flow comfortably covers debt service coverage ratio.",24,Business Owner,1.6,137600,715,80421,180,Debt Consolidation,0.19,2,Investment Portfolio,0.31,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,102168
"Applicant is a 21-year-old self-employed professional (0.0 years in field) requesting a $34,113 credit facility for debt consolidation over 180 months secured by property / real estate. Declared annual income is $48,236 against a credit score of 714 and DTI ratio of 0.28. Credit file shows 1 existing loan liability(ies), 27% revolving utilization, and with zero delinquencies. Underwriting assessment: Verified disposable cash flow comfortably covers debt service coverage ratio.",21,Self-Employed,0.0,48236,714,34113,180,Debt Consolidation,0.28,1,Property / Real Estate,0.27,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,35815
"Credit application summary: $56,709 home purchase loan sought by a 41-year-old employed individual. Repayment horizon is 36 months with property / real estate collateral. Applicant commands an annual income of $60,216 with a FICO score of 743 and debt ratio of 0.33. Borrower carries 2 existing loan liability(ies) and revolving utilization of 19%. Credit notes: Clean repayment history with strong collateral backing.",41,Employed,12.2,60216,743,56709,36,Home Purchase,0.33,2,Property / Real Estate,0.19,0,0,Clean repayment history with strong collateral backing.,99.0,1,Tier A+ (Prime),6.25,0.02,44710
"Loan profile: The applicant is 67 years of age, working as employed with 33.8 years of experience. Seeking $40,280 financing for business expansion across 48 monthly installments secured by property / real estate. Earning $97,618 annually with an established credit score of 640 and monthly DTI of 0.10. The borrower currently maintains 1 existing loan liability(ies). Risk note: Solid balance sheet with multi-year steady employment and low debt obligations.",67,Employed,33.8,97618,640,40280,48,Business Expansion,0.1,1,Property / Real Estate,0.06,3,0,Solid balance sheet with multi-year steady employment and low debt obligations.,69.7,1,Tier A (Prime),11.92,0.078,51029
"Borrower review: 21-year-old business owner requesting a $36,111 84-month loan for home purchase. Financial standing: $68,492 annual gross income, credit rating of 641, and leverage ratio of 0.31. Collateral posture: None. Obligation structure: 3 existing loan liability(ies), with zero delinquencies, 20% revolving usage. Analyst review: Moderate risk profile; requires verification of secondary liquid assets.",21,Business Owner,0.0,68492,641,36111,84,Home Purchase,0.31,3,None,0.2,0,0,Moderate risk profile; requires verification of secondary liquid assets.,49.7,1,Tier B (Near-Prime),16.32,0.385,25530
"Applicant is a 29-year-old self-employed professional (2.1 years in field) requesting a $24,579 credit facility for vehicle purchase over 84 months without collateral backing. Declared annual income is $109,436 against a credit score of 712 and DTI ratio of 0.14. Credit file shows 1 existing loan liability(ies), 12% revolving utilization, and with zero delinquencies. Underwriting assessment: Verified disposable cash flow comfortably covers debt service coverage ratio.",29,Self-Employed,2.1,109436,712,24579,84,Vehicle Purchase,0.14,1,None,0.12,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,81256
"Credit application summary: $75,347 vehicle purchase loan sought by a 53-year-old employed individual. Repayment horizon is 48 months with none collateral. Applicant commands an annual income of $94,291 with a FICO score of 836 and debt ratio of 0.22. Borrower carries 1 existing loan liability(ies) and revolving utilization of 16%. Credit notes: Strong liquidity profile and prime credit score history.",53,Employed,19.2,94291,836,75347,48,Vehicle Purchase,0.22,1,None,0.16,0,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,70011
"Loan profile: The applicant is 35 years of age, working as employed with 10.8 years of experience. Seeking $15,666 financing for vehicle purchase across 36 monthly installments secured by vehicle. Earning $59,932 annually with an established credit score of 564 and monthly DTI of 0.20. The borrower currently maintains no existing debt obligations. Risk note: Verified disposable cash flow comfortably covers debt service coverage ratio.",35,Employed,10.8,59932,564,15666,36,Vehicle Purchase,0.2,0,Vehicle,0.22,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,85.7,1,Tier A+ (Prime),8.4,0.02,38521
"Borrower review: 67-year-old self-employed requesting a $33,683 84-month loan for education. Financial standing: $144,971 annual gross income, credit rating of 526, and leverage ratio of 0.14. Collateral posture: None. Obligation structure: 2 existing loan liability(ies), with zero delinquencies, 32% revolving usage. Prior bankruptcy recorded. Analyst review: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",67,Self-Employed,28.2,144971,526,33683,84,Education,0.14,2,None,0.32,0,1,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,23.4,0,Tier D (High Risk),22.1,0.897,25442
"Applicant is a 70-year-old student professional (0.0 years in field) requesting a $94,806 credit facility for education over 36 months secured by vehicle. Declared annual income is $25,411 against a credit score of 664 and DTI ratio of 0.67. Credit file shows 1 existing loan liability(ies), 8% revolving utilization, and with zero delinquencies. Prior bankruptcy recorded. Underwriting assessment: Unfavorable leverage metrics and multiple active loan liabilities.",70,Student,0.0,25411,664,94806,36,Education,0.67,1,Vehicle,0.08,0,1,Unfavorable leverage metrics and multiple active loan liabilities.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Credit application summary: $22,625 medical loan sought by a 58-year-old business owner individual. Repayment horizon is 48 months with vehicle collateral. Applicant commands an annual income of $184,944 with a FICO score of 765 and debt ratio of 0.09. Borrower carries 2 existing loan liability(ies) and revolving utilization of 17%. Credit notes: Solid balance sheet with multi-year steady employment and low debt obligations.",58,Business Owner,13.7,184944,765,22625,48,Medical,0.09,2,Vehicle,0.17,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,137320
"Loan profile: The applicant is 41 years of age, working as employed with 13.1 years of experience. Seeking $12,490 financing for education across 36 monthly installments secured by property / real estate. Earning $186,540 annually with an established credit score of 689 and monthly DTI of 0.06. The borrower currently maintains no existing debt obligations. Risk note: Clean repayment history with strong collateral backing.",41,Employed,13.1,186540,689,12490,36,Education,0.06,0,Property / Real Estate,0.18,3,0,Clean repayment history with strong collateral backing.,99.0,1,Tier A+ (Prime),6.25,0.02,138505
